Customer ID	Customer Name	Segment	Age	Country	City	State	Postal Code	Region
HP-14815	Harold Pawlan	Home Office	20	United States	Fort Worth	Texas	76106	Central
PK-19075	Pete Kriz	Consumer	46	United States	Madison	Wisconsin	53711	Central
KB-16585	Ken Black	Corporate	67	United States	Fremont	Nebraska	68025	Central
MA-17560	Matt Abelman	Home Office	19	United States	Houston	Texas	77095	Central
GH-14485	Gene Hale	Corporate	28	United States	Richardson	Texas	75080	Central
SN-20710	Steve Nguyen	Home Office	46	United States	Houston	Texas	77041	Central
LC-16930	Linda Cazamias	Corporate	31	United States	Naperville	Illinois	60540	Central
ON-18715	Odella Nelson	Corporate	27	United States	Eagan	Minnesota	55122	Central
PO-18865	Patrick O'Donnell	Consumer	64	United States	Westland	Michigan	48185	Central
DP-13000	Darren Powers	Consumer	40	United States	New Albany	Indiana	47150	Central
PS-18970	Paul Stevenson	Home Office	31	United States	Chicago	Illinois	60610	Central
KB-16600	Ken Brennan	Corporate	29	United States	Houston	Texas	77041	Central
CS-12400	Christopher Schild	Home Office	33	United States	Chicago	Illinois	60623	Central
PG-18895	Paul Gonzalez	Consumer	64	United States	Rochester	Minnesota	55901	Central
GM-14455	Gary Mitchum	Home Office	64	United States	Houston	Texss	77095	Central
KB-16315	Karl Braun	Consumer	70	United States	Minneapolis	Minnesota	55407	Central
ER-13855	Elpida Rittenbach	Corporate	56	United States	Saint Paul	Minnesota	55106	Central
RB-19465	Rick Bensley	Home Office	18	United States	Chicago	Illinois	60610	Central
GZ-14470	Gary Zandusky	Consumer	64	United States	Rochester	Minnesota	55901	Central
PA-19060	Pete Armstrong	Home Office	31	United States	Orland Park	Illinois	60462	Central
CL-12565	Clay Ludtke	Consumer	36	United States	Urbandale	Iowa	50322	Central
AD-10180	Alan Dominguez	Home Office	52	United States	Houston	Texas	77041	Central
PF-19165	Philip Fox	Consumer	30	United States	Bloomington	Illinois	61701	Central
SG-20080	Sandra Glassco	Consumer	52	United States	Independence	Missouri	64055	Central
JE-16165	Justin Ellison	Corporate	49	United States	Franklin	Wisconsin	53132	Central
NP-18670	Nora Paige	Consumer	64	United States	Edmond	Oklahoma	73034	Central
BM-11140	Becky Martin	Consumer	67	United States	San Antonio	Texas	78207	Central
JB-15400	Jennifer Braxton	Corporate	39	United States	Chicago	Illinois	60623	Central
SJ-20500	Shirley Jackson	Consumer	69	United States	Houston	Texas	77036	Central
DK-13150	David Kendrick	Corporate	20	United States	Decatur	Illinois	62521	Central
AM-10360	Alice McCarthy	Corporate	45	United States	Grand Prairie	Texas	75051	Central
LC-17140	Logan Currie	Consumer	22	United States	Dallas	Texas	75220	Central
JH-15985	Joseph Holt	Consumer	51	United States	Saginaw	Michigan	48601	Central
MS-17980	Michael Stewart	Corporate	67	United States	Dallas	Texas	75220	Central
DS-13180	David Smith	Corporate	41	United States	Detroit	Michigan	48227	Central
KL-16645	Ken Lonsdale	Consumer	43	United States	Chicago	Illinois	60610	Central
DW-13480	Dianna Wilson	Home Office	25	United States	Lakeville	Minnesota	55044	Central
DR-12880	Dan Reichenbach	Corporate	68	United States	Chicago	Illinois	60623	Central
Dl-13600	Dorris liebe	Corporate	68	United States	Pasadena	Texas	77506	Central
SB-20290	Sean Braxton	Corporate	41	United States	Houston	Texas	77036	Central
RC-19825	Roy Collins	Consumer	54	United States	Chicago	Illinois	60610	Central
GT-14755	Guy Thornton	Consumer	53	United States	Harlingen	Texass	78550	Central
MM-18280	Muhammed MacIntyre	Corporate	59	United States	Quincy	Illinois	62301	Central
RA-19915	Russell Applegate	Consumer	47	United States	Houston	Texas	77095	Central
LA-16780	Laura Armstrong	Corporate	59	United States	Taylor	Michigan	48180	Central
BP-11095	Bart Pistole	Corporate	30	United States	Peoria	Illinois	61604	Central
AG-10675	Anna Gayman	Consumer	69	United States	Houston	Texas	77036	Central
KH-16630	Ken Heidel	Corporate	34	United States	San Antonio	Texas	78207	Central
PO-19180	Philisse Overcash	Home Office	46	United States	Chicago	Illinois	60623	Central
BB-11545	Brenda Bowman	Corporate	60	United States	Houston	Texas	77070	Central
TB-21595	Troy Blackwell	Consumer	50	United States	Columbus	Indiana	47201	Central
JS-15940	Joni Sundaresam	Home Office	26	United States	Park Ridge	Illinois	60068	Central
SA-20830	Sue Ann Reed	Consumer	34	United States	Chicago	Illinois	60610	Central
CW-11905	Carl Weiss	Home Office	31	United States	Huntsville	Texas	77340	Central
LS-17245	Lynn Smith	Consumer	59	United States	Gladstone	Missouri	64118	Central
DB-13210	Dean Braden	Consumer	41	United States	Houston	Texas	77041	Central
MC-17605	Matt Connell	Corporate	49	United States	Detroit	Michigan	48234	Central
EP-13915	Emily Phan	Consumer	38	United States	Chicago	Illinois	60653	Central
BD-11500	Bradley Drucker	Consumer	47	United States	Green Bay	Wisconsin	54302	Central
GT-14710	Greg Tran	Consumer	67	United States	Houston	Texas	77070	Central
CS-11950	Carlos Soltero	Consumer	18	United States	Chicago	Illinois	60610	Central
MS-17830	Melanie Seite	Consumer	61	United States	Laredo	Texas	78041	Central
NB-18655	Nona Balk	Corporate	42	United States	Dallas	Texas	75217	Central
CA-12265	Christina Anderson	Consumer	49	United States	Chicago	Illinois	60610	Central
SF-20965	Sylvia Foulston	Corporate	64	United States	Dearborn	Michigan	48126	Central
JD-16150	Justin Deggeller	Corporate	37	United States	Minneapolis	Minnesota	55407	Central
SC-20305	Sean Christensen	Consumer	30	United States	Rochester Hills	Michigan	48307	Central
CC-12430	Chuck Clark	Home Office	66	United States	Columbus	Indiana	47201	Central
EH-14125	Eugene Hildebrand	Home Office	41	United States	Aurora	Illinois	60505	Central
TH-21235	Tiffany House	Corporate	28	United States	Dallas	Texas	75081	Central
RB-19570	Rob Beeghly	Consumer	57	United States	Columbus	Indiana	47201	Central
CD-11980	Carol Darley	Consumer	61	United States	Tyler	Texas	75701	Central
JF-15355	Jay Fein	Consumer	70	United States	Austin	Texas	78745	Central
PO-19195	Phillina Ober	Home Office	45	United States	Naperville	Illinois	60540	Central
SS-20875	Sung Shariari	Consumer	18	United States	Dallas	Texas	75220	Central
PB-19105	Peter Buhler	Consumer	32	United States	Evanston	Illinois	60201	Central
RF-19735	Roland Fjeld	Consumer	38	United States	Trenton	Michigan	48183	Central
DC-13285	Debra Catini	Consumer	48	United States	Cottage Grove	Minnesota	55016	Central
BF-11020	Barry Franzosisch	Corporate	67	United States	Green Bay	Wisconsin	54302	Central
BV-11245	Benjamin Venier	Corporate	46	United States	Des Moines	Iowa	50315	Central
RH-19495	Rick Hansen	Consumer	19	United States	Rochester	Minnesota	55901	Central
BW-11110	Bart Watters	Corporate	50	United States	Milwaukee	Wisconsin	53209	Central
PM-19135	Peter McVee	Home Office	65	United States	Detroit	Michigan	48227	Central
HL-15040	Hunter Lopez	Consumer	65	United States	Houston	Texas	77095	Central
MS-17365	Maribeth Schnelling	Consumer	55	United States	Detroit	Michigan	48227	Central
BE-11335	Bill Eplett	Home Office	20	United States	Jackson	Michigan	49201	Central
RW-19630	Rob Williams	Corporate	23	United States	Dallas	Texas	75220	Central
GH-14665	Greg Hansen	Consumer	67	United States	Round Rock	Texas	78664	Central
AS-10630	Ann Steele	Home Office	54	United States	Pasadena	Rwxas	77506	Central
TS-21340	Toby Swindell	Consumer	67	United States	Houston	Texas	77041	Central
RD-19660	Robert Dilbeck	Home Office	53	United States	Saint Peters	Missouri	63376	Central
NS-18640	Noel Staavos	Corporate	37	United States	Chicago	Illinois	60610	Central
CM-12160	Charles McCrossin	Consumer	58	United States	Brownsville	Texas	78521	Central
CC-12100	Chad Cunningham	Home Office	3o	United States	Columbus	Indiana	47201	Central
BT-11395	Bill Tyler	Corporate	32	United States	Detroit	Michigan	48227	Central
FH-14275	Frank Hawley	Corporate	26	United States	La Porte	Indiana	46350	Central
NC-18340	Nat Carroll	Consumer	45	United States	Lansing	Michigan	48911	Central
AA-10315	Alex Avila	Consumer	66	United States	Minneapolis	Minnesota	55407	Central
PM-18940	Paul MacIntyre	Consumer	41	United States	Jackson	Michigan	49201	Central
CA-12055	Cathy Armstrong	Home Office	67	United States	Houston	Texas	77070	Central
CC-12220	Chris Cortes	Consumer	18	United States	La Porte	Indiana	46350	Central
BD-11770	Bryan Davis	Consumer	50	United States	Houston	Texas	77070	Central
QJ-19255	Quincy Jones	Corporate	48	United States	Saint Paul	Minnesota	55106	Central
MN-17935	Michael Nguyen	Consumer	41	United States	Dallas	Texas	75220	Central
BP-11290	Beth Paige	Consumer	26	United States	Evanston	Illinois	60201	Central
LB-16735	Larry Blacks	Consumer	65	United States	Fort Worth	Texas	76106	Central
JK-16120	Julie Kriz	Home Office	67	United States	Aurora	Illinois	60505	Central
SV-20815	Stuart Van	Corporate	42	United States	Houston	Texas	77041	Central
NH-18610	Nicole Hansen	Corporate	44	United States	Irving	Texas	75061	Central
JD-15790	John Dryer	Consumer	26	United States	Coppell	Texas	75019	Central
PL-18925	Paul Lucas	Home Office	20	United States	Chicago	Illinois	60610	Central
AW-10840	Anthony Witt	Consumer	37	United States	Allen	Texas	75002	Central
MC-18100	Mick Crebagga	Consumer	65	United States	El Paso	Texas	79907	Central
TT-21460	Tonja Turnell	Home Office	22	United States	Aurora	Illinois	60505	Central
MY-18295	Muhammed Yedwab	Corporate	25	United States	Grapevine	Texas	76051	Central
DP-13390	Dennis Pardue	Home Office	44	United States	Peoria	Illinois	61604	Central
BS-11380	Bill Stewart	Corporate	53	United States	Skokie	Illinois	60076	Central
NS-18505	Neola Schneider	Consumer	54	United States	Dallas	Texas	75217	Central
HF-14995	Herbert Flentye	Consumer	19	United States	Indianapolis	Indiana	46203	Central
DA-13450	Dianna Arnett	Home Office	38	United States	Houston	Texas	77095	Central
RM-19375	Raymond Messe	Consumer	39	United States	Houston	Texas	77095	Central
JE-15610	Jim Epp	Corporate	38	United States	Milwaukee	Wisconsin	53209	Central
RP-19855	Roy Phan	Corporate	50	United States	Kenosha	Wisconsin	53142	Central
TB-21175	Thomas Boland	Corporate	45	United States	Houston	Texas	77041	Central
BE-11455	Brad Eason	Home Office	20	United States	Olathe	Kansas	66062	Central
JF-15565	Jill Fjeld	Consumer	36	United States	Dallas	Texas	75081	Central
